,Your Rating,Date Rated,Title,URL,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Viewing Year
156,6,2022-02-22,OSS 117: Alerte rouge en Afrique noire,https://www.imdb.com/title/tt7972012/,5.9,117,2021,"Action, Comedy",2021-07-17,Nicolas Bedos,Before 2022
157,8,2022-02-22,Play,https://www.imdb.com/title/tt7998848/,7.1,108,2019,"Comedy, Romance",2019-08-21,Anthony Marciano,Before 2022
158,1,2022-02-22,Basta Capital,https://www.imdb.com/title/tt8063132/,5.8,95,2020,Drama,2020-11-04,Pierre Zellner,Before 2022
159,5,2022-02-22,Le mystère Henri Pick,https://www.imdb.com/title/tt8263936/,6.7,100,2019,"Comedy, Drama, Mystery",2019-02-24,Rémi Bezançon,Before 2022
160,5,2022-02-22,The Gentlemen,https://www.imdb.com/title/tt8367814/,7.8,113,2019,"Action, Comedy, Crime",2019-12-03,Guy Ritchie,Before 2022
161,8,2022-02-22,The Courier,https://www.imdb.com/title/tt8368512/,7.2,112,2020,"Drama, History, Thriller, War",2020-01-24,Dominic Cooke,Before 2022
162,10,2022-02-22,The Darjeeling Limited,https://www.imdb.com/title/tt0838221/,7.2,91,2007,"Adventure, Comedy, Drama",2007-08-31,Wes Anderson,Before 2022
163,6,2022-02-22,Le père Noël est une ordure,https://www.imdb.com/title/tt0084555/,7.6,88,1982,Comedy,1982-08-25,Jean-Marie Poiré,Before 2022
164,9,2022-02-21,Pleasure,https://www.imdb.com/title/tt8550054/,6.3,109,2021,Drama,2021-01-30,Ninja Thyberg,Before 2022
165,8,2022-02-22,Portrait de la jeune fille en feu,https://www.imdb.com/title/tt8613070/,8.1,122,2019,"Drama, Romance",2019-05-19,Céline Sciamma,Before 2022
166,3,2022-02-22,The Climb,https://www.imdb.com/title/tt8637440/,6.7,98,2019,"Comedy, Drama",2019-05-17,Michael Angelo Covino,Before 2022
167,8,2022-02-22,Hors normes,https://www.imdb.com/title/tt8655470/,7.4,114,2019,"Comedy, Drama",2019-05-25,"Olivier Nakache, Éric Toledano",Before 2022
168,8,2022-02-21,The French Dispatch,https://www.imdb.com/title/tt8847712/,7.3,107,2021,"Comedy, Drama, Romance",2021-07-12,Wes Anderson,Before 2022
169,3,2022-02-22,Burn After Reading,https://www.imdb.com/title/tt0887883/,7.0,96,2008,"Comedy, Crime, Drama, Thriller",2008-08-27,"Joel Coen, Ethan Coen",Before 2022
170,9,2022-02-22,Normal People,https://www.imdb.com/title/tt9059760/,8.5,339,2020,"Drama, Romance",2020-04-26,,2022
171,7,2022-02-22,The Boy in the Striped Pyjamas,https://www.imdb.com/title/tt0914798/,7.8,94,2008,"Drama, History, War",2008-08-28,Mark Herman,Before 2022
172,8,2022-02-22,Les éblouis,https://www.imdb.com/title/tt9170086/,6.3,99,2019,Drama,2019-08-24,Sarah Suco,Before 2022
173,7,2022-02-22,Un vrai bonhomme,https://www.imdb.com/title/tt9172490/,5.9,88,2019,"Comedy, Drama",2019-11-14,Benjamin Parent,Before 2022
174,7,2022-02-22,Madre,https://www.imdb.com/title/tt9234450/,6.6,128,2019,"Drama, Thriller",2019-08-30,Rodrigo Sorogoyen,Before 2022
175,6,2022-02-22,Le meilleur reste à venir,https://www.imdb.com/title/tt9284430/,6.6,117,2019,"Comedy, Drama",2019-10-21,"Matthieu Delaporte, Alexandre de La Patellière",Before 2022
176,7,2022-02-22,Mon légionnaire,https://www.imdb.com/title/tt9348908/,5.8,106,2021,Drama,2021-07-15,Rachel Lang,Before 2022
177,8,2022-02-22,Palm Springs,https://www.imdb.com/title/tt9484998/,7.4,90,2020,"Comedy, Fantasy, Mystery, Romance",2020-01-26,Max Barbakow,Before 2022
178,7,2022-02-22,Itinéraire d'un enfant gâté,https://www.imdb.com/title/tt0095386/,7.0,125,1988,"Drama, Adventure, Comedy",1988-11-30,Claude Lelouch,Before 2022
179,6,2022-02-21,King Richard,https://www.imdb.com/title/tt9620288/,7.6,144,2021,"Biography, Drama, Sport",2021-09-02,Reinaldo Marcus Green,Before 2022
180,7,2022-02-22,Promising Young Woman,https://www.imdb.com/title/tt9620292/,7.5,113,2020,"Crime, Drama, Mystery, Thriller",2020-01-25,Emerald Fennell,Before 2022
181,7,2022-02-22,Last Night in Soho,https://www.imdb.com/title/tt9639470/,7.1,116,2021,"Drama, Horror, Mystery, Thriller",2021-09-04,Edgar Wright,Before 2022
182,7,2022-02-22,Petit pays,https://www.imdb.com/title/tt9665968/,6.6,111,2020,Drama,2020-02-03,Eric Barbier,Before 2022
183,6,2022-02-22,Les apparences,https://www.imdb.com/title/tt9675786/,6.0,108,2020,"Crime, Drama, Thriller",2020-09-01,Marc Fitoussi,Before 2022
184,6,2022-02-22,The King of Staten Island,https://www.imdb.com/title/tt9686708/,7.1,136,2020,"Comedy, Drama",2020-06-12,Judd Apatow,Before 2022
185,7,2022-02-22,Slalom,https://www.imdb.com/title/tt9697780/,6.7,92,2020,Drama,2020-08-29,Charlène Favier,Before 2022
186,3,2022-02-22,France,https://www.imdb.com/title/tt9714030/,5.9,133,2021,"Comedy, Drama",2021-07-15,Bruno Dumont,Before 2022
187,7,2022-02-22,Aline,https://www.imdb.com/title/tt9735462/,6.7,128,2020,"Biography, Comedy, Drama, Music",2020-10-04,Valérie Lemercier,Before 2022
188,4,2022-02-22,Amants,https://www.imdb.com/title/tt9800670/,5.6,102,2020,"Drama, Thriller",2020-09-03,Nicole Garcia,Before 2022
189,7,2022-02-22,Metri Shesh Va Nim,https://www.imdb.com/title/tt9817070/,7.9,131,2019,"Action, Crime, Drama, Thriller",2019-01-30,Saeed Roustayi,2022
190,3,2022-02-22,Yalda,https://www.imdb.com/title/tt9834492/,6.3,89,2019,Drama,2019-02-01,Massoud Bakhshi,Before 2022
191,4,2022-02-22,Kaamelott - Premier volet,https://www.imdb.com/title/tt9844322/,6.5,120,2021,"Adventure, Comedy, Fantasy",2021-07-20,Alexandre Astier,Before 2022
192,8,2022-02-22,Babi Yar. Context,https://www.imdb.com/title/tt9850492/,7.9,121,2021,"Documentary, History",2021-07-11,Sergey Loznitsa,Before 2022
